"file","si","ti","content_type"
"094_4.0_slowmo1.json","27.61","5.69","1"
"095_4.0_slowmo1.json","47.745","6.88","1"
"096_2.0_slowmo1.json","25.049","6.886","1"
"097_2.0_slowmo1.json","74.51","14.313","1"
"098_4.0_slowmo1.json","43.157","10.097","1"
"099_4.0_slowmo1.json","48.507","4.168","1"
"101_4.0_slowmo1.json","43.358","9.691","1"
"102_4.0_slowmo1.json","40.651","6.951","1"
"103_2.0_slowmo1.json","33.271","7.001","1"
"104_2.0_slowmo1.json","39.017","5.27","1"
"105_2.0_slowmo1.json","46.305","6.495","1"
"106_2.0_slowmo1.json","41.015","6.145","1"
"108_2.0_slowmo1.json","74.032","19.747","1"
"109_2.0_slowmo1.json","51.221","6.826","1"
"110_4.0_slowmo1.json","34.337","5.704","1"
"111_4.0_slowmo1.json","10.185","5.144","1"
"112_4.0_slowmo1.json","23.478","5.876","1"
"115_2.0_slowmo1.json","33.408","6.799","1"
"116_2.0_slowmo1.json","32.467","12.467","1"
"117_2.0_slowmo1.json","25.749","4.335","1"
"118_2.0_slowmo1.json","14.777","6.129","1"
"119_5.0_slowmo1.json","30.436","12.583","1"
"120_5.0_slowmo1.json","27.348","2.167","1"
"122_2.0_slowmo1.json","15.387","2.137","1"
"123_2.0_slowmo1.json","35.288","12.494","1"
"124_4.0_slowmo1.json","30.776","4.38","1"
"125_4.0_slowmo1.json","57.375","5.862","1"
"126_2.0_slowmo1.json","19.137","3.954","1"
"127_2.0_slowmo1.json","21.515","3.691","1"
"129_5.0_slowmo1.json","42.228","7.002","1"
"130_5.0_slowmo1.json","17.792","2.112","1"
"131_2.0_slowmo1.json","26.138","3.675","1"
"132_2.0_slowmo1.json","30.881","3.24","1"
"133_5.0_slowmo1.json","20.002","2.647","1"
"134_5.0_slowmo1.json","71.306","17.789","1"
"137_5.0_slowmo1.json","7.173","0.316","1"
"138_5.0_slowmo1.json","41.625","4.923","1"
"140_2.0_slowmo1.json","29.11","7.081","1"
"141_2.0_slowmo1.json","58.096","14.096","1"
"143_2.0_slowmo1.json","25.329","4.099","1"
"144_2.0_slowmo1.json","33.533","10.771","1"
"146_2.0_slowmo1.json","34.479","3.934","1"
"147_4.0_slowmo1.json","18.59","4.827","1"
"148_4.0_slowmo1.json","31.073","7.018","1"
"150_5.0_slowmo2.json","24.991","4.175","1"
"151_5.0_slowmo2.json","22.066","3.117","1"
"152_2.0_slowmo2.json","30.74","4.251","1"
"153_2.0_slowmo2.json","28.06","5.942","1"
"154_2.0_slowmo2.json","24.142","4.881","1"
"155_2.0_slowmo2.json","24.329","8.377","1"
"157_4.0_slowmo2.json","15.034","3.668","1"
"158_4.0_slowmo2.json","36.096","2.593","1"
"159_4.0_slowmo2.json","25.166","8.532","1"
"160_4.0_slowmo2.json","32.97","7.271","1"
"161_2.0_slowmo2.json","15.716","2.848","1"
"162_2.0_slowmo2.json","42.034","7.311","1"
"164_2.0_slowmo2.json","23.07","7.621","1"
"165_2.0_slowmo2.json","15.28","1.325","1"
"166_5.0_slowmo2.json","41.978","15.537","1"
"167_5.0_slowmo2.json","17.197","4.452","1"
"168_2.0_slowmo2.json","27.094","6.694","1"
"169_2.0_slowmo2.json","55.803","5.292","1"
"171_2.0_slowmo2.json","37.49","6.412","1"
"172_2.0_slowmo2.json","39.285","4.499","1"
"173_5.0_slowmo2.json","26.668","2.852","1"
"174_5.0_slowmo2.json","28.729","17.171","1"
"2.0_4phreal_widoki003.json","108.581","21.643","0"
"2.0_4phreal_widoki004.json","82.526","17.201","0"
"2.0_4phreal_widoki10.json","84.998","19.781","0"
"2.0_4phreal_widoki11.json","55.837","8.618","0"
"2.0_4phreal_widoki17.json","96.17","25.27","0"
"2.0_4phreal_widoki18.json","98.091","22.701","0"
"2.0_4phreal_widoki22.json","60.392","8.293","0"
"2.0_4phreal_widoki23.json","75.732","14.698","0"
"2.0_4phreal_widoki28.json","60.392","8.293","0"
"2.0_4phreal_widoki29.json","75.732","14.698","0"
"2.0_4phreal_widoki30.json","48.599","5.385","0"
"2.0_4phreal_widoki31.json","133.092","17.83","0"
"2.0_4phreal_widoki32.json","135.196","29.145","0"
"2.0_4phreal_widoki33.json","70.921","15.62","0"
"2.0_4phreal_widoki34.json","85.166","15.991","0"
"2.0_4phreal_widoki35.json","46.073","8.207","0"
"2.0_4phreal_widoki40.json","81.408","14.343","0"
"2.0_4phreal_widoki41.json","44.202","5.667","0"
"2.0_4phreal_widoki42.json","77.416","17.322","0"
"2.0_4phreal_widoki43.json","97.354","23.341","0"
"2.0_4phreal_widoki56.json","99.885","26.753","0"
"2.0_4phreal_widoki57.json","96.105","16.916","0"
"2.0_4phreal_widoki58.json","125.258","19.711","0"
"2.0_4phreal_widoki59.json","119.581","31.357","0"
"2.0_4phreal_widoki60.json","63.411","15.551","0"
"2.0_4phreal_widoki61.json","75.138","16.075","0"
"2.0_4phreal_widoki64.json","82.79","9.237","0"
"2.0_4phreal_widoki65.json","106.955","17.223","0"
"2.0_4phreal_widoki66.json","89.678","20.333","0"
"2.0_4phreal_widoki67.json","73.888","19.811","0"
"2.0_4phreal_widoki68.json","107.839","21.684","0"
"2.0_4phreal_widoki69.json","67.881","8.016","0"
"2.0_4phreal_widoki70.json","92.996","18.134","0"
"2.0_4phreal_widoki71.json","68.229","20.314","0"
"2.0_4phreal_widoki72.json","84.638","25.542","0"
"2.0_4phreal_widoki73.json","91.53","17.653","0"
"2.0_4phreal_widoki74.json","85.343","13.582","0"
"2.0_4phreal_widoki75.json","65.664","15.655","0"
"2.0_slowmo2_145n.json","23.259","6.773","1"
"4.0_4phreal_widoki44.json","85.806","13.343","0"
"4.0_4phreal_widoki45.json","110.625","24.908","0"
"4.0_4phreal_widoki46.json","81.162","14.754","0"
"4.0_4phreal_widoki47.json","90.152","19.663","0"
"4.0_4phreal_widoki48.json","74.712","15.308","0"
"4.0_4phreal_widoki49.json","109.515","14.872","0"
