"file","si","ti","content_type"
"094_4.0_slowmo1.json","27.61","5.69","slow motion"
"095_4.0_slowmo1.json","47.745","6.88","slow motion"
"096_2.0_slowmo1.json","25.049","6.886","slow motion"
"097_2.0_slowmo1.json","74.51","14.313","slow motion"
"098_4.0_slowmo1.json","43.157","10.097","slow motion"
"099_4.0_slowmo1.json","48.507","4.168","slow motion"
"101_4.0_slowmo1.json","43.358","9.691","slow motion"
"102_4.0_slowmo1.json","40.651","6.951","slow motion"
"103_2.0_slowmo1.json","33.271","7.001","slow motion"
"104_2.0_slowmo1.json","39.017","5.27","slow motion"
"105_2.0_slowmo1.json","46.305","6.495","slow motion"
"106_2.0_slowmo1.json","41.015","6.145","slow motion"
"108_2.0_slowmo1.json","74.032","19.747","slow motion"
"109_2.0_slowmo1.json","51.221","6.826","slow motion"
"110_4.0_slowmo1.json","34.337","5.704","slow motion"
"111_4.0_slowmo1.json","10.185","5.144","slow motion"
"112_4.0_slowmo1.json","23.478","5.876","slow motion"
"115_2.0_slowmo1.json","33.408","6.799","slow motion"
"116_2.0_slowmo1.json","32.467","12.467","slow motion"
"117_2.0_slowmo1.json","25.749","4.335","slow motion"
"118_2.0_slowmo1.json","14.777","6.129","slow motion"
"119_5.0_slowmo1.json","30.436","12.583","slow motion"
"120_5.0_slowmo1.json","27.348","2.167","slow motion"
"122_2.0_slowmo1.json","15.387","2.137","slow motion"
"123_2.0_slowmo1.json","35.288","12.494","slow motion"
"124_4.0_slowmo1.json","30.776","4.38","slow motion"
"125_4.0_slowmo1.json","57.375","5.862","slow motion"
"126_2.0_slowmo1.json","19.137","3.954","slow motion"
"127_2.0_slowmo1.json","21.515","3.691","slow motion"
"129_5.0_slowmo1.json","42.228","7.002","slow motion"
"130_5.0_slowmo1.json","17.792","2.112","slow motion"
"131_2.0_slowmo1.json","26.138","3.675","slow motion"
"132_2.0_slowmo1.json","30.881","3.24","slow motion"
"133_5.0_slowmo1.json","20.002","2.647","slow motion"
"134_5.0_slowmo1.json","71.306","17.789","slow motion"
"137_5.0_slowmo1.json","7.173","0.316","slow motion"
"138_5.0_slowmo1.json","41.625","4.923","slow motion"
"140_2.0_slowmo1.json","29.11","7.081","slow motion"
"141_2.0_slowmo1.json","58.096","14.096","slow motion"
"143_2.0_slowmo1.json","25.329","4.099","slow motion"
"144_2.0_slowmo1.json","33.533","10.771","slow motion"
"146_2.0_slowmo1.json","34.479","3.934","slow motion"
"147_4.0_slowmo1.json","18.59","4.827","slow motion"
"148_4.0_slowmo1.json","31.073","7.018","slow motion"
"150_5.0_slowmo2.json","24.991","4.175","slow motion"
"151_5.0_slowmo2.json","22.066","3.117","slow motion"
"152_2.0_slowmo2.json","30.74","4.251","slow motion"
"153_2.0_slowmo2.json","28.06","5.942","slow motion"
"154_2.0_slowmo2.json","24.142","4.881","slow motion"
"155_2.0_slowmo2.json","24.329","8.377","slow motion"
"157_4.0_slowmo2.json","15.034","3.668","slow motion"
"158_4.0_slowmo2.json","36.096","2.593","slow motion"
"159_4.0_slowmo2.json","25.166","8.532","slow motion"
"160_4.0_slowmo2.json","32.97","7.271","slow motion"
"161_2.0_slowmo2.json","15.716","2.848","slow motion"
"162_2.0_slowmo2.json","42.034","7.311","slow motion"
