external_id,week,mo,tu,we,th,fr,sa,n,n_lowq,q2,n_full,n_obs,q4,week_q
00c2c,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,5,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
0d293,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
27e23,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
343ab,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
365cd,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
3fe63,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,5,30,38,"Mam wrażenie, że na początku tygodnia jakość była słaba, ale w drugiej połowie była już bardzo dobra.","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
40c71,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,"Jakość niejednakowa w roznych dniach, to znaczy:
Pon 5/5
Wt 5/5
Sr 2/5
Czw 3/5 
Pt 5/5
Sob 5/5","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
4d5eb,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,3,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
50bf3,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
54ed7,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
5542e,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,3,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
57ea9,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,5,30,38,Poza środa i czwartkiem jakość była wspaniała,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
5aa56,1,4.154999999999999,4.161999999999999,1.9629999999999999,1.978,4.1659999999999995,4.163999999999999,7,2,5,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
