"week","n_votes","week_q","mos","sd","mean_q","tag"
1,30,"5,5,2,2,5,5",4.06666666666667,0.639683829949492,4,"nature"
2,31,"5,5,2,2,5,5",3.96774193548387,0.752058108027207,4,"nature"
3,25,"5,5,5,5,2,2",3.84,0.8,4,"nature"
4,21,"2,2,5,5,5,5",4.19047619047619,0.679635756787974,4,"nature"
5,28,"4,4,2,2,4,4",3.57142857142857,0.690065559342354,3.33333333333333,"nature"
6,23,"4,4,4,4,2,2",3.65217391304348,0.77510677576318,3.33333333333333,"nature"
7,26,"2,2,4,4,4,4",4.03846153846154,0.527694550342846,3.33333333333333,"nature"
8,20,"2,2,5,5,2,2",3.1,0.788068925652412,3,"nature"
9,21,"2,2,2,2,5,5",3.0952380952381,0.700340053457026,3,"nature"
10,23,"5,5,2,2,2,2",2.91304347826087,0.848155403763253,3,"nature"
11,24,"2,2,4,4,2,2",3.125,0.679673834820151,2.66666666666667,"nature"
12,19,"2,2,2,2,4,4",3.05263157894737,0.911267993910214,2.66666666666667,"nature"
13,20,"4,4,2,2,2,2",2.65,0.670820393249937,2.66666666666667,"nature"
14,24,"4,4,2,2,4,4",3.58333333333333,0.775531608229039,3.33333333333333,"slowmo"
15,22,"4,4,2,2,2,2",2.40909090909091,0.734139659030241,2.66666666666667,"slowmo"
16,18,"2,2,4,4,4,4",3.66666666666667,0.76696498884737,3.33333333333333,"slowmo"
17,20,"2,2,2,2,5,5",3.05,0.68633274115326,3,"slowmo"
18,19,"2,2,4,4,2,2",2.52631578947368,0.904827856717728,2.66666666666667,"slowmo"
19,21,"5,5,2,2,5,5",3.47619047619048,0.749603069567329,4,"slowmo"
20,19,"5,5,5,5,2,2",3.47368421052632,0.696692268479466,4,"slowmo"
21,17,"2,2,2,2,4,4",3.58823529411765,0.939336436627724,2.66666666666667,"slowmo"
