"","external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"1","3fe63","1",5,5,2,2,5,5,7,2,5,30,38,"Mam wrażenie, że na początku tygodnia jakość była słaba, ale w drugiej połowie była już bardzo dobra.","5,5,2,2,5,5"
"2","40c71","1",5,5,2,2,5,5,7,2,4,30,38,"Jakość niejednakowa w roznych dniach, to znaczy:
Pon 5/5
Wt 5/5
Sr 2/5
Czw 3/5 
Pt 5/5
Sob 5/5","5,5,2,2,5,5"
"3","57ea9","1",5,5,2,2,5,5,7,2,5,30,38,"Poza środa i czwartkiem jakość była wspaniała","5,5,2,2,5,5"
"4","5870e","1",NA,NA,NA,2,5,5,4,1,3,30,38,"Po długim problemie z powiadomieniami stwierdzam że z tego co zauważyłem to powiadomienia przestają przychodzić jeśli w aplikacji jest taka przerwa jak ostatnio. Jeśli filmy są codziennie na bieżąco to wtedy powiadomienia przychodzą normalnie.","NA,NA,NA,2,5,5"
"5","7d03b","1",5,5,2,2,5,5,7,2,4,30,38,"Poniedziałek, wtorek, piątek i sobota - dobra jakość 
Środa i czwartek - zła jakość","5,5,2,2,5,5"
"6","88df4","1",5,5,2,2,5,5,7,2,4,30,38,"Na ogół jakość większości filmików bardzo dobra ale był też  filmik jeden lub dwa  niewyraźny lub o niezbyt dobrej ostrości","5,5,2,2,5,5"
"7","bb4ea","1",5,5,2,2,5,5,7,2,4,30,38,"Filmy miały różną jakość od wspaniałej po przeciętną. Różniły się także w zależności od ujęć w ramach jednego dnia.","5,5,2,2,5,5"
"8","c42b6","1",5,5,2,2,5,5,7,2,5,30,38,"Większość była wspaniała jeśli chodzi o jakość, a także pokazywane widoki.","5,5,2,2,5,5"
"9","c565b","1",5,5,2,2,5,5,7,2,4,30,38,"Jakość filmów mocno się różniła między sobą zależnie od dnia. Większość filmów była bardzo dobrej jakości, ale był co najmniej jeden o jakości średniej. Filmy nadal obracają się dziwnie przy włączeniu (nie od razu do poziomu, tylko tak jakby obraz kręcił się w kółko)","5,5,2,2,5,5"
"10","f1308","1",5,5,2,2,5,5,7,2,5,30,38,"Filmy były we wspaniałej jakości na początku i pod koniec tego tygodnia. W środę i czwartek filmy były słabej jakości.","5,5,2,2,5,5"
"11","f75f6","1",5,5,2,2,5,5,7,2,4,30,38,"Zła jakość była w środę i czwartek","5,5,2,2,5,5"
"12","00c2c","2",5,5,2,2,5,5,7,2,5,31,36,"Jeden filmik miał słabą jakość","5,5,2,2,5,5"
"13","7d03b","2",5,5,2,2,5,5,7,2,4,31,36,"Poniedziałek, wtorek, piątek i sobota - dobra jakość,
Środa i czwartek - zła jakość","5,5,2,2,5,5"
"14","88df4","2",5,5,2,2,5,5,7,2,3,31,36,"Było kilka filmów złej jakości z nieostrym i rozmytym obrazem  co wpłynęło na ogólną ocenę","5,5,2,2,5,5"
"15","898c1","2",5,5,2,2,5,5,7,2,5,31,36,"Na początku tygodnia jakość słabsza jednak w pozostałe dni jakość była bardzo dobra","5,5,2,2,5,5"
"16","bb4ea","2",5,NA,2,2,5,5,6,2,4,31,36,"Niektóre filmy miały słabą jakość, ale ogólnie większość była wspaniała, stąd ocena jest tego wypadkową.","5,NA,2,2,5,5"
"17","d45b5","2",5,5,2,2,5,5,7,2,4,31,36,"Jakość była różna w poszczególnych dniach. Średnio jednak była ona dobra","5,5,2,2,5,5"
"18","f1308","2",5,5,2,2,5,5,7,2,5,31,36,"Wydaje mi się, że w tym tygodniu, tak jak i w poprzednim, filmiki w środę i czwartek były gorszej jakości niż w pozostałe dni. Przez resztę dni wyświetlane były filmy o najwyższej jakości.","5,5,2,2,5,5"
