"external_id","n_votes","mos.x","sd.x","n_votes_full","mos.y","sd.y","n_videos"
"00c2c",21,3.66666666666667,1.06458129484475,21,3.66666666666667,1.06458129484475,147
"023ce",18,3.16666666666667,0.857492925712544,4,3.5,1.29099444873581,121
"0d293",19,3.47368421052632,0.611775290321498,17,3.47058823529412,0.624264272846798,136
"27e23",21,3.47619047619048,0.813575295780767,19,3.42105263157895,0.768533196975772,146
"343ab",16,3.625,0.806225774829855,4,3.5,1,114
"365cd",16,3.8125,0.834166250416147,8,4.25,0.886405260427918,114
"3adab",19,3.68421052631579,0.945905302926917,14,3.42857142857143,0.937614461876991,136
"3fe63",7,3.42857142857143,1.2724180205607,1,5,NA,68
"40c71",19,3.47368421052632,0.512989176042577,11,3.54545454545455,0.522232967867094,134
"4d5eb",15,2.93333333333333,0.703731550548997,3,2.66666666666667,0.577350269189626,111
"50bf3",17,3.05882352941176,1.02899151085505,4,3.25,0.957427107756338,111
"54ed7",21,3.61904761904762,1.11696868694653,15,3.46666666666667,1.06009882737862,135
"5542e",16,2.9375,0.680073525436772,10,3.1,0.567646212197547,126
"559e2",19,3.36842105263158,0.760885910252682,13,3.46153846153846,0.776250025806185,139
"57ea9",20,4.55,0.51041778553404,15,4.53333333333333,0.516397779494322,140
"5870e",18,3.38888888888889,0.777544316035229,14,3.35714285714286,0.841897386141095,129
"5aa56",20,3.65,0.812727700887249,11,3.72727272727273,1.00904995821903,128
"5c3d1",20,3.75,0.444261658319319,16,3.75,0.447213595499958,142
"7d03b",21,3.19047619047619,0.980767435177556,19,3.26315789473684,0.991189255566704,145
"88df4",21,2.71428571428571,0.717137165600636,21,2.71428571428571,0.717137165600636,147
"898c1",17,3.70588235294118,0.848874687627165,7,3.71428571428571,0.951189731211342,122
"8a560",19,3.36842105263158,0.597264720370147,9,3.44444444444444,0.52704627669473,131
"8caa8",14,3,0.784464540552736,5,3.4,0.547722557505166,123
"9d7d1",20,3.75,0.550119604220181,14,3.78571428571429,0.578934223521839,137
"a711f",21,3.19047619047619,0.813575295780767,20,3.2,0.833508753466491,147
"b7150",19,3.57894736842105,0.96123701977563,10,3.6,0.699205898780101,133
"bb4ea",20,3.3,0.732695097065047,16,3.25,0.774596669241483,142
"bb8d0",18,4,0.76696498884737,5,4,1,124
"bd209",21,2.95238095238095,0.589592272353571,21,2.95238095238095,0.589592272353571,147
"c05b7",21,3.57142857142857,1.02817452659695,21,3.57142857142857,1.02817452659695,147
"c42b6",21,3.80952380952381,1.07791686224159,19,3.78947368421053,1.08417646003371,145
"c565b",17,2.94117647058824,0.747545001596402,13,2.84615384615385,0.800640769025436,138
"d45b5",20,2.95,0.68633274115326,18,3,0.685994340570035,143
"f0ed7",17,3.17647058823529,0.727606875108999,5,3,0.707106781186548,123
"f1308",21,3.42857142857143,1.02817452659695,9,4,1,127
"f75f6",20,2.95,1.05006265477226,14,3.14285714285714,1.09945041215655,139
"f7c29",19,2.78947368421053,0.976328005472037,11,2.81818181818182,0.750757193529548,131
"f865c",17,3.41176470588235,0.618346942400842,14,3.42857142857143,0.646206172658864,118
