"external_id","video","q2","q2_repeat","q2_diff"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","95_underdog.mp4",3,4,1
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","90_kobietymafii2.mp4",3,4,1
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","80_gangsterem.mp4",3,5,2
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","75_polityka.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","70_kurier.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","65_pilsudzki.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","60_milionera.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","55_mercedes.mp4",3,2,-1
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","50_szczescie.mp4",3,4,1
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","45_amatorzy.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","40_gold.mp4",3,3,0
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","35_samiecalfa.mp4",3,3,0
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","75_polityka.mp4",2,3,1
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","45_amatorzy.mp4",1,2,1
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","35_samiecalfa.mp4",1,2,1
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","20_prosterzeczy.mp4",1,2,1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","95_underdog.mp4",5,5,0
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","90_kobietymafii2.mp4",4,5,1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","80_gangsterem.mp4",4,4,0
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","75_polityka.mp4",4,5,1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","70_kurier.mp4",4,3,-1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","65_pilsudzki.mp4",4,3,-1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","60_milionera.mp4",4,2,-2
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","55_mercedes.mp4",3,2,-1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","50_szczescie.mp4",4,3,-1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","45_amatorzy.mp4",4,2,-2
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","40_gold.mp4",3,2,-1
"0d2931283511ad80a8f66727d56f0f6c964a1be999a35e2c4df4f0ba3b25a974","35_samiecalfa.mp4",3,2,-1
