"week","n_votes","mos","sd","group","v1","v2","v3","v4","v5","v6"
1,32,3.625,0.65991201759609,"lab","5","5","2","2","5","5"
2,32,3.46875,0.621360370217975,"lab","5","5","2","2","5","5"
3,32,3.5625,0.715609372628355,"lab","5","5","5","5","2","2"
4,32,3.84375,0.723315618434282,"lab","2","2","5","5","5","5"
5,32,3.5,0.842423539174232,"lab","4","4","2","2","4","4"
6,32,3.28125,0.634206387491867,"lab","4","4","4","4","2","2"
7,32,3.5,0.87988269012812,"lab","2","2","4","4","4","4"
8,32,2.4375,0.669014682321166,"lab","2","2","5","5","2","2"
9,32,2.34375,0.787375182120541,"lab","2","2","2","2","5","5"
10,32,2.375,0.707106781186548,"lab","5","5","2","2","2","2"
11,32,2.15625,0.807599988815926,"lab","2","2","4","4","2","2"
12,32,2.46875,0.76133901566529,"lab","2","2","2","2","4","4"
13,32,2.15625,0.883883476483184,"lab","4","4","2","2","2","2"
1,30,4.06666666666667,0.639683829949492,"lts","5","5","2","2","5","5"
2,31,3.96774193548387,0.752058108027207,"lts","5","5","2","2","5","5"
3,25,3.84,0.8,"lts","5","5","5","5","2","2"
4,21,4.19047619047619,0.679635756787974,"lts","2","2","5","5","5","5"
5,28,3.57142857142857,0.690065559342354,"lts","4","4","2","2","4","4"
6,23,3.65217391304348,0.77510677576318,"lts","4","4","4","4","2","2"
7,26,4.03846153846154,0.527694550342846,"lts","2","2","4","4","4","4"
8,20,3.1,0.788068925652412,"lts","2","2","5","5","2","2"
9,21,3.0952380952381,0.700340053457026,"lts","2","2","2","2","5","5"
10,23,2.91304347826087,0.848155403763253,"lts","5","5","2","2","2","2"
11,24,3.125,0.679673834820151,"lts","2","2","4","4","2","2"
12,19,3.05263157894737,0.911267993910214,"lts","2","2","2","2","4","4"
13,20,2.65,0.670820393249937,"lts","4","4","2","2","2","2"
